Afghanistan	Asia/Kabul
Greenland	America/Godthab
Greenland	America/Scoresbysund
Greenland	America/Thule
Grenada	America/Grenada
Guadeloupe	America/Guadeloupe
Guam	Pacific/Guam
Guatemala	America/Guatemala
Guernsey	Europe/Guernsey
Guinea	Africa/Conakry
Guinea-Bissau	Africa/Bissau
Guyana	America/Guyana
Haiti	America/Port-au-Prince
Honduras	America/Tegucigalpa
Hong Kong	Asia/Hong_Kong
Hungary	Europe/Budapest
Iceland	Atlantic/Reykjavik
India	Asia/Kolkata
Indonesia	Asia/Jakarta
Indonesia	Asia/Jayapura
Indonesia	Asia/Makassar
Indonesia	Asia/Pontianak
Iran	Asia/Tehran
Iraq	Asia/Baghdad
Ireland	Europe/Dublin
Isle of Man	Europe/Isle_of_Man
Israel	Asia/Jerusalem
Italy	Europe/Rome
Ivory Coast	Africa/Abidjan
Jamaica	America/Jamaica
Japan	Asia/Tokyo
Jersey	Europe/Jersey
Jordan	Asia/Amman
Kazakhstan	Asia/Almaty
Kazakhstan	Asia/Aqtau
Kazakhstan	Asia/Aqtobe
Kazakhstan	Asia/Oral
Kazakhstan	Asia/Qyzylorda
Kenya	Africa/Nairobi
Kiribati	Pacific/Enderbury
Kiribati	Pacific/Kiritimati
Kiribati	Pacific/Tarawa
Kuwait	Asia/Kuwait
Kyrgyzstan	Asia/Bishkek
Laos	Asia/Vientiane
Latvia	Europe/Riga
Lebanon	Asia/Beirut
Lesotho	Africa/Maseru
Liberia	Africa/Monrovia
Libya	Africa/Tripoli
Liechtenstein	Europe/Vaduz
Lithuania	Europe/Vilnius
Luxembourg	Europe/Luxembourg
Macao	Asia/Macau
Macedonia	Europe/Skopje
Madagascar	Indian/Antananarivo
Malawi	Africa/Blantyre
Malaysia	Asia/Kuala_Lumpur
Malaysia	Asia/Kuching
Maldives	Indian/Maldives
Mali	Africa/Bamako
Malta	Europe/Malta
Marshall Islands	Pacific/Kwajalein
Marshall Islands	Pacific/Majuro
Martinique	America/Martinique
Mauritania	Africa/Nouakchott
Mauritius	Indian/Mauritius
Mayotte	Indian/Mayotte
Mexico	America/Bahia_Banderas
Mexico	America/Cancun
Mexico	America/Chihuahua
Mexico	America/Hermosillo
Mexico	America/Matamoros
Mexico	America/Mazatlan
Mexico	America/Merida
Mexico	America/Mexico_City
Mexico	America/Monterrey
Mexico	America/Ojinaga
Mexico	America/Santa_Isabel
Mexico	America/Tijuana
Micronesia	Pacific/Chuuk
Micronesia	Pacific/Kosrae
Micronesia	Pacific/Pohnpei
Moldova	Europe/Chisinau
Monaco	Europe/Monaco
Mongolia	Asia/Choibalsan
Mongolia	Asia/Hovd
Mongolia	Asia/Ulaanbaatar
Montenegro	Europe/Podgorica
Montserrat	America/Montserrat
Morocco	Africa/Casablanca
Mozambique	Africa/Maputo
Myanmar	Asia/Rangoon
Namibia	Africa/Windhoek
Nauru	Pacific/Nauru
Nepal	Asia/Kathmandu
Netherlands	Europe/Amsterdam
New Caledonia	Pacific/Noumea
New Zealand	Pacific/Auckland
New Zealand	Pacific/Chatham
Nicaragua	America/Managua
Niger	Africa/Niamey
Nigeria	Africa/Lagos
Niue	Pacific/Niue
Norfolk Island	Pacific/Norfolk
North Korea	Asia/Pyongyang
Northern Mariana Islands	Pacific/Saipan
Norway	Europe/Oslo
Oman	Asia/Muscat
Pakistan	Asia/Karachi
Palau	Pacific/Palau
Palestinian Territory	Asia/Gaza
Palestinian Territory	Asia/Hebron
Panama	America/Panama
Papua New Guinea	Pacific/Bougainville
Papua New Guinea	Pacific/Port_Moresby
Paraguay	America/Asuncion
Peru	America/Lima
Philippines	Asia/Manila
Pitcairn	Pacific/Pitcairn
Poland	Europe/Warsaw
Portugal	Atlantic/Azores
Portugal	Atlantic/Madeira
Portugal	Europe/Lisbon
Puerto Rico	America/Puerto_Rico
Qatar	Asia/Qatar
Republic of the Congo	Africa/Brazzaville
Reunion	Indian/Reunion
Romania	Europe/Bucharest
Russia	Asia/Anadyr
Russia	Asia/Chita
Russia	Asia/Irkutsk
Russia	Asia/Kamchatka
Russia	Asia/Khandyga
Russia	Asia/Krasnoyarsk
Russia	Asia/Magadan
Russia	Asia/Novokuznetsk
Russia	Asia/Novosibirsk
Russia	Asia/Omsk
Russia	Asia/Sakhalin
Russia	Asia/Srednekolymsk
Russia	Asia/Ust-Nera
Russia	Asia/Vladivostok
Russia	Asia/Yakutsk
Russia	Asia/Yekaterinburg
Russia	Europe/Kaliningrad
Russia	Europe/Moscow
Russia	Europe/Samara
Russia	Europe/Simferopol
Russia	Europe/Volgograd
Rwanda	Africa/Kigali
Saint Barthélemy	America/St_Barthelemy
Saint Helena	Atlantic/St_Helena
Saint Kitts America/St_Kitts
Nevis	America/St_Kitts
Saint Lucia	America/St_Lucia
Saint Martin	America/Marigot
Saint Pierre America/Miquelon
Miquelon	America/Miquelon
Saint Vincent America/St_Vincent
Grenadines	America/St_Vincent
Samoa	Pacific/Apia
San Marino	Europe/San_Marino
Sao Tome Africa/Sao_Tome
Principe	Africa/Sao_Tome
Saudi Arabia	Asia/Riyadh
Senegal	Africa/Dakar
Serbia	Europe/Belgrade
Seychelles	Indian/Mahe
Sierra Leone	Africa/Freetown
Singapore	Asia/Singapore
Sint Maarten	America/Lower_Princes
Slovakia	Europe/Bratislava
Slovenia	Europe/Ljubljana
Solomon Islands	Pacific/Guadalcanal
Somalia	Africa/Mogadishu
South Africa	Africa/Johannesburg
South Georgia Atlantic/South_Georgia
South Sandwich Islands	Atlantic/South_Georgia
South Korea	Asia/Seoul
South Sudan	Africa/Juba
Spain	Africa/Ceuta
Spain	Atlantic/Canary
Spain	Europe/Madrid
Sri Lanka	Asia/Colombo
Sudan	Africa/Khartoum
Suriname	America/Paramaribo
Svalbard Arctic/Longyearbyen
Jan Mayen	Arctic/Longyearbyen
Swaziland	Africa/Mbabane
Sweden	Europe/Stockholm
Switzerland	Europe/Zurich
Syria	Asia/Damascus
Taiwan	Asia/Taipei
Tajikistan	Asia/Dushanbe
Tanzania	Africa/Dar_es_Salaam
Thailand	Asia/Bangkok
Togo	Africa/Lome
Tokelau	Pacific/Fakaofo
Tonga	Pacific/Tongatapu
Trinidad America/Port_of_Spain
Tobago	America/Port_of_Spain
Tunisia	Africa/Tunis
Turkey	Europe/Istanbul
Turkmenistan	Asia/Ashgabat
Turks America/Grand_Turk
Caicos Islands	America/Grand_Turk
Tuvalu	Pacific/Funafuti
U.S. Virgin Islands	America/St_Thomas
Uganda	Africa/Kampala
Ukraine	Europe/Kiev
Ukraine	Europe/Uzhgorod
Ukraine	Europe/Zaporozhye
United Arab Emirates	Asia/Dubai
United Kingdom	Europe/London
United States	America/Adak
United States	America/Anchorage
United States	America/Boise
United States	America/Chicago
United States	America/Denver
United States	America/Detroit
United States	America/Indiana/Indianapolis
United States	America/Indiana/Knox
United States	America/Indiana/Marengo
United States	America/Indiana/Petersburg
United States	America/Indiana/Tell_City
United States	America/Indiana/Vevay
United States	America/Indiana/Vincennes
United States	America/Indiana/Winamac
United States	America/Juneau
United States	America/Kentucky/Louisville
United States	America/Kentucky/Monticello
United States	America/Los_Angeles
United States	America/Menominee
United States	America/Metlakatla
United States	America/New_York
United States	America/Nome
United States	America/North_Dakota/Beulah
United States	America/North_Dakota/Center
United States	America/North_Dakota/New_Salem
United States	America/Phoenix
United States	America/Sitka
United States	America/Yakutat
United States	Pacific/Honolulu
United States Minor Outlying Islands	Pacific/Johnston
United States Minor Outlying Islands	Pacific/Midway
United States Minor Outlying Islands	Pacific/Wake
Uruguay	America/Montevideo
Uzbekistan	Asia/Samarkand
Uzbekistan	Asia/Tashkent
Vanuatu	Pacific/Efate
Vatican	Europe/Vatican
Venezuela	America/Caracas
Vietnam	Asia/Ho_Chi_Minh
Wallis Pacific/Wallis
Futuna	Pacific/Wallis
Western Sahara	Africa/El_Aaiun
Yemen	Asia/Aden
Zambia	Africa/Lusaka
Zimbabwe	Africa/Harare
